DIGAMBAR,RAJENDRA,SONAWANE,19-10-1994,121080000,SC,Computers,digambar.sonawane30@gmail.com,2012 - 13,9057709006,42789,Gokul Garden,Tilaknagar,Akola,,c4ca4238a0b923820dcc509a6f75849b
AJINKYA,VASANTRAO,PATIL,27-03-1994,121080001,OBC,Civil,ajinkya.patil58@gmail.com,2012 - 13,9060665396,54873,Gurukul Heights,SV Nagar,Nashik,,c4ca4238a0b923820dcc509a6f75849b
ROHIT,BHASKAR,MUNDE,15-09-1994,121080002,ST,Civil,rohit.munde80@gmail.com,2012 - 13,9632637264,39928,Krishnavan,Tilaknagar,Latur,,c4ca4238a0b923820dcc509a6f75849b
SACHIN,DASHRATHRAO,AITALWAD,18-02-1994,121080003,OPEN,Civil,sachin.aitalwad36@gmail.com,2012 - 13,9544202251,59834,Riddhi Siddhi,GV Road,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
UMESH,DNYANOBARAO,PAWAR,04-07-1994,121080004,OPEN,Computers,umesh.pawar16@gmail.com,2012 - 13,9658638438,59834,Gokul Garden,SV Nagar,Nashik,,c4ca4238a0b923820dcc509a6f75849b
MAHESH,PANDURANG,CHAVAN,21-09-1994,121080005,OPEN,Computers,mahesh.chavan52@gmail.com,2012 - 13,9771107717,59834,Gokul Garden,Gandhidham,Nashik,,c4ca4238a0b923820dcc509a6f75849b
RAHUL,BHAGWAN,PATIL,07-06-1994,121080006,ST,Civil,rahul.patil91@gmail.com,2012 - 13,9747231999,39928,Krishnavan,Tilaknagar,Kolhapur,,c4ca4238a0b923820dcc509a6f75849b
SAIPRASAD,VENKATESH,GORE,05-12-1994,121080007,SC,Civil,saiprasad.gore69@gmail.com,2012 - 13,9079283510,42789,Gurukul Heights,Kriti Complex,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
SUMIT,SAKHARAM,RAUT,09-03-1994,121080008,ST,Civil,sumit.raut29@gmail.com,2012 - 13,9823382388,39928,Gokul Garden,Kriti Complex,Latur,,c4ca4238a0b923820dcc509a6f75849b
SANDEEPKUMAR,GOVINDRAO,PATIL,27-06-1994,121080009,OBC,Production,sandeepkumar.patil46@gmail.com,2012 - 13,9996883477,54873,Sanskruti,Tilaknagar,Nashik,,c4ca4238a0b923820dcc509a6f75849b
NITIN,TIKARAM,RANE,11-08-1994,121080010,SC,Production,nitin.rane90@gmail.com,2012 - 13,9781883779,42789,Gurukul Heights,Gandhidham,Kolhapur,,c4ca4238a0b923820dcc509a6f75849b
NITIN,VIJAYKUMAR,BIDKAR,21-03-1994,121080011,VJ,Information Technology,nitin.bidkar27@gmail.com,2012 - 13,9458416554,45545,Riddhi Siddhi,Tilaknagar,Akola,,c4ca4238a0b923820dcc509a6f75849b
YOGANAND,LAXMIKANT,PATHRIKAR,16-06-1994,121080012,ST,Mechanical,yoganand.pathrikar21@gmail.com,2012 - 13,8917071444,39928,Riddhi Siddhi,Gandhidham,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
SHAILESH,RAMRAO,BANGAR,11-08-1994,121080013,VJ,Civil,shailesh.bangar74@gmail.com,2012 - 13,9759538651,45545,Krishnavan,Kriti Complex,Kolhapur,,c4ca4238a0b923820dcc509a6f75849b
AKSHAY,SHAM,KAMBLE,11-12-1994,121080014,OPEN,Mechanical,akshay.kamble73@gmail.com,2012 - 13,9155882863,59834,Gokul Garden,SV Nagar,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
ASHISH,GOPAL,KHANDELWAL,24-10-1994,121080015,NT,Computers,ashish.khandelwal77@gmail.com,2012 - 13,9643090945,50282,Riddhi Siddhi,SV Nagar,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
MAHESH,SHRIDHARRAO,CHAVAN,08-04-1994,121080016,OPEN,Civil,mahesh.chavan30@gmail.com,2012 - 13,9789312139,59834,Krishnavan,GV Road,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
OMKAR,PADMAKAR,JOSHI,12-01-1994,121080017,NT,Electronics and Telecommunications,omkar.joshi78@gmail.com,2012 - 13,9947245090,50282,Gurukul Heights,Gandhidham,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
HARSHAL,SUNIL,KULKARNI,08-08-1994,121080018,OPEN,Textile,harshal.kulkarni22@gmail.com,2012 - 13,9685731640,59834,Sanskruti,SV Nagar,Nashik,,c4ca4238a0b923820dcc509a6f75849b
SANDEEPKUMAR,MOHANLAL,SHAHU,06-04-1994,121080019,ST,Electrical,sandeepkumar.shahu55@gmail.com,2012 - 13,9848061849,39928,Sanskruti,Kriti Complex,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
YOGESH,SADASHIVRAO,MARAWAR,06-10-1994,121080020,OPEN,Production,yogesh.marawar33@gmail.com,2012 - 13,9699309930,59834,Riddhi Siddhi,Tilaknagar,Latur,,c4ca4238a0b923820dcc509a6f75849b
SOMNATH,NANDU,MALI,19-01-1994,121080021,VJ,Mechanical,somnath.mali78@gmail.com,2012 - 13,9964969266,45545,Gokul Garden,Gandhidham,Latur,,c4ca4238a0b923820dcc509a6f75849b
PRAVIN,NANA,THITE,11-01-1994,121080022,OPEN,Mechanical,pravin.thite67@gmail.com,2012 - 13,9489233774,59834,Gurukul Heights,Kriti Complex,Latur,,c4ca4238a0b923820dcc509a6f75849b
SWAPNIL,ARUN,BORSE,05-03-1994,121080023,NT,Computers,swapnil.borse26@gmail.com,2012 - 13,8977244460,50282,Krishnavan,Kriti Complex,Nashik,,c4ca4238a0b923820dcc509a6f75849b
YASH,RADHESHYAM,SHARMA,12-01-1994,121080024,OPEN,Information Technology,yash.sharma17@gmail.com,2012 - 13,9927805437,59834,Gokul Garden,Gandhidham,Kolhapur,,c4ca4238a0b923820dcc509a6f75849b
ADITYA,HEMANT,KADAM,01-06-1994,121080025,SC,Production,aditya.kadam19@gmail.com,2012 - 13,9760754731,42789,Sanskruti,Gandhidham,Kolhapur,,c4ca4238a0b923820dcc509a6f75849b
ANIMESH,JAYANT,CHANDSARKAR,07-02-1994,121080026,OBC,Civil,animesh.chandsarkar95@gmail.com,2012 - 13,9713860687,54873,Sanskruti,Kriti Complex,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
ROHAN,ANILKUMAR,JANYARAM,19-05-1994,121080027,NT,Electronics,rohan.janyaram63@gmail.com,2012 - 13,8899678879,50282,Sanskruti,Kriti Complex,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
SHUBHAM,KAILAS,GADE,11-05-1994,121080028,OBC,Mechanical,shubham.gade49@gmail.com,2012 - 13,9773217085,54873,Gokul Garden,GV Road,Latur,,c4ca4238a0b923820dcc509a6f75849b
ROHIT,DASHARATH,BIRHADE,14-04-1994,121080029,ST,Mechanical,rohit.birhade86@gmail.com,2012 - 13,9784866377,39928,Sanskruti,Gandhidham,Latur,,c4ca4238a0b923820dcc509a6f75849b
PARAG,SATISH,NARKHEDE,25-01-1994,121080030,OBC,Mechanical,parag.narkhede81@gmail.com,2012 - 13,9144029101,54873,Krishnavan,Kriti Complex,Latur,,c4ca4238a0b923820dcc509a6f75849b
NITIN,NAMDEV,CHAVAN,11-03-1994,121080031,OPEN,Mechanical,nitin.chavan37@gmail.com,2012 - 13,9845401065,59834,Krishnavan,Kriti Complex,Nashik,,c4ca4238a0b923820dcc509a6f75849b
SANKET,MOHAN,BODH,24-03-1994,121080032,OBC,Mechanical,sanket.bodh24@gmail.com,2012 - 13,8819423880,54873,Riddhi Siddhi,GV Road,Kolhapur,,c4ca4238a0b923820dcc509a6f75849b
KAPIL,SURESH,DALVI,23-02-1994,121080033,VJ,Mechanical,kapil.dalvi79@gmail.com,2012 - 13,9413951305,45545,Gokul Garden,SV Nagar,Latur,,c4ca4238a0b923820dcc509a6f75849b
GAURAV,KISHORKUMAR,VAID,25-02-1994,121080034,SC,Mechanical,gaurav.vaid72@gmail.com,2012 - 13,8970462284,42789,Krishnavan,Tilaknagar,Kolhapur,,c4ca4238a0b923820dcc509a6f75849b
SHUBHAM,KANTILAL,PAWAR,14-10-1994,121080035,NT,Mechanical,shubham.pawar37@gmail.com,2012 - 13,9298276538,50282,Sanskruti,GV Road,Latur,,c4ca4238a0b923820dcc509a6f75849b
PANKAJ,SUDHAKAR,PATIL,01-04-1994,121080036,OPEN,Electronics and Telecommunications,pankaj.patil46@gmail.com,2012 - 13,9628553550,59834,Sanskruti,Gandhidham,Nashik,,c4ca4238a0b923820dcc509a6f75849b
SHAILESH,SUDHAKAR,MENDHEKAR,02-12-1994,121080037,ST,Electronics and Telecommunications,shailesh.mendhekar39@gmail.com,2012 - 13,9153689158,39928,Sanskruti,Gandhidham,Akola,,c4ca4238a0b923820dcc509a6f75849b
ATUL,VINAYAK,PARKHE,07-04-1994,121080038,OPEN,Electrical,atul.parkhe53@gmail.com,2012 - 13,9923608024,59834,Krishnavan,Gandhidham,Latur,,c4ca4238a0b923820dcc509a6f75849b
PRASHISH,MANIKRAO,SURVE,09-04-1994,121080039,OBC,Electrical,prashish.surve52@gmail.com,2012 - 13,9112215677,54873,Krishnavan,SV Nagar,Kolhapur,,c4ca4238a0b923820dcc509a6f75849b
RAJBHUSHAN,BHATESING,RAJPUT,02-04-1994,121080040,NT,Electrical,rajbhushan.rajput38@gmail.com,2012 - 13,9037555439,50282,Krishnavan,Gandhidham,Nagpur,,c4ca4238a0b923820dcc509a6f75849b
SANTOSH,KANTILAL,MAGAR,08-03-1994,121080041,OBC,Production,santosh.magar38@gmail.com,2012 - 13,9091386631,54873,Sanskruti,GV Road,Latur,,c4ca4238a0b923820dcc509a6f75849b
VAIBHAV,VASANT,MESHRAM,21-10-1994,121080042,ST,Production,vaibhav.meshram80@gmail.com,2012 - 13,9014015737,39928,Gokul Garden,Tilaknagar,Latur,,c4ca4238a0b923820dcc509a6f75849b
AKSHAY,JAGATPAL,KOGDE,26-09-1994,121080043,OBC,Information Technology,akshay.kogde39@gmail.com,2012 - 13,9095252146,54873,Krishnavan,Gandhidham,Kolhapur,,c4ca4238a0b923820dcc509a6f75849b
